"county","county_names","region","zipcode","wwtp_name","sw_id","epaid","cdc_id","site_id","sample_location","sample_location_specify","method","capacity_mgd","population_served","institution_type","reporting_jurisdiction","wwtp_jurisdiction","wwtp_latitude","wwtp_longitude"
"New York",36061,"New York City",10035,"Wards Island WWTP","36061NY0026131NYCWWB","NY0026131","NY061026131A","NY061026131A","wwtp","Wards Island","Influent",275,1197129,"not institution specific","ny","ny",40.79,-73.92
"New York",36061,"New York City",10032,"North River WWTP","36061NY0026247NYCWWA","NY0026247","NY061026247A","NY061026247A","wwtp","North River","Influent",170,655795,"not institution specific","ny","ny",40.83,-73.96
"Niagara",36063,"Western New York",14120,"North Tonawanda STP","36063NY0026280NCWWI","NY0026280","NY063026280A","NY063026280A","wwtp","North Tonawanda","Influent",13,30278,"not institution specific","ny","ny",43.04,-78.89
"Niagara",36063,"Western New York",14303,"Niagara Falls STP","36063NY0026336NCWWK","NY0026336","NY063026336A","NY063026336A","wwtp","Niagara Falls","Influent",48,48196,"not institution specific","ny","ny",43.08,-79.04
"Niagara",36063,"Western New York",14094,"Lockport WWTP","36063NY0027057NCWWE","NY0027057","NY063027057A","NY063027057A","wwtp","Lockport","Influent",22,31032,"not institution specific","ny","ny",43.19,-78.71
"Niagara",36063,"Western New York",14174,"Lewiston Master SD","36063NY0027766NCWWG","NY0027766","NY063027766A","NY063027766A","wwtp","Town of Lewiston SD","Influent",2.75,15126,"not institution specific","ny","ny",43.21,-79.04
"Niagara",36063,"Western New York",14028,"Newfane - T WWTP","36063NY0027774NCWWF","NY0027774","NY063027774A","NY063027774A","wwtp","Town of Newfane SD","Influent",1.6,5632,"not institution specific","ny","ny",43.34,-78.69
"Niagara",36063,"Western New York",14304,"Niagara County SD No 1 WWTP","36063NY0027979NCWWJ","NY0027979","NY063027979A","NY063027979A","wwtp","Niagara County SD","Influent",14.08,38971,"not institution specific","ny","ny",43.07,-78.92
"Oneida",36065,"Mohawk Valley",13323,"Clinton STP","36065NY0021385001","NY0021385","NY065021385A","NY065021385A","wwtp","Clinton WWTP","Influent",2.5,3990,"not institution specific","ny","ny",43.06,-75.38
"Oneida",36065,"Mohawk Valley",13421,"City of Sherrill STP","36065NY0022110OCWWF","NY0022110","NY065022110A","NY065022110A","wwtp","City of Sherrill","Influent",0.95,3210,"not institution specific","ny","ny",43.07,-75.62
"Oneida",36065,"Mohawk Valley",13502,"Oneida Co WPCF","36065NY0025780OCWWD","NY0025780","NY065025780A","NY065025780A","wwtp","Utica","Influent",48,112455,"not institution specific","ny","ny",43.1,-75.19
"Oneida",36065,"Mohawk Valley",13502,"Oneida Co WPCF","36065NY0025780D018","NY0025780","NY065025780B","NY065025780B","wwtp","Utica - Suburbs","Influent",48,33358,"not institution specific","ny","ny",43.1,-75.19
"Oneida",36065,"Mohawk Valley",13502,"Oneida Co WPCF","36065NY0025780D019","NY0025780","NY065025780C","NY065025780C","wwtp","Utica - City","Influent",48,55215,"not institution specific","ny","ny",43.1,-75.19
"Oneida",36065,"Mohawk Valley",13440,"Rome Municipal STP","36065NY0030864OCWWC","NY0030864","NY065030864A","NY065030864A","wwtp","Rome","Influent",12,27849,"not institution specific","ny","ny",43.2,-75.41
"Oneida",36065,"Mohawk Valley",13308,"East Oneida Lake WWTF","36065NY0036790OCWWB","NY0036790","NY065036790A","NY065036790A","wwtp","Oneida Lake - South and East Shores","Influent",2,6076,"not institution specific","ny","ny",43.21,-75.72
"Onondaga",36067,"Central New York",13116,"Village of Minoa STP","36067NY0025461OCWWH","NY0025461","NY067025461A","NY067025461A","wwtp","Village of Minoa","Influent",0.99,3272,"not institution specific","ny","ny",43.08,-76
"Onondaga",36067,"Central New York",13204,"Metropolitan Syracuse WWTP","36067NY0027081603","NY0027081","NY067027081F","NY067027081F","upstream","Metro - Ley Creek","Upstream Pump Station",84.2,49079,"not institution specific","ny","ny",43.06,-76.18
"Onondaga",36067,"Central New York",13204,"Metropolitan Syracuse WWTP","36067NY0027081600","NY0027081","NY067027081G","NY067027081G","upstream","Metro - Liverpool","Upstream Pump Station",84.2,3838,"not institution specific","ny","ny",43.06,-76.18
"Onondaga",36067,"Central New York",13204,"Metropolitan Syracuse WWTP","36067NY0027081725","NY0027081","NY067027081H","NY067027081H","upstream","Metro - Westside","Upstream Pump Station",84.2,45538,"not institution specific","ny","ny",43.06,-76.18
"Onondaga",36067,"Central New York",13204,"Metropolitan Syracuse WWTP","36067NY00270811700","NY0027081","NY067027081I","NY067027081I","upstream","Metro - Harbor Brook","Upstream Pump Station",84.2,16260,"not institution specific","ny","ny",43.06,-76.18
"Onondaga",36067,"Central New York",13204,"Metropolitan Syracuse WWTP","36067NY0027081999C","NY0027081","NY067027081B","NY067027081B","upstream","Metro - Butternut Ave","Upstream Manhole",84.2,19586,"not institution specific","ny","ny",43.06,-76.18
"Onondaga",36067,"Central New York",13204,"Metropolitan Syracuse WWTP","36067NY0027081999A","NY0027081","NY067027081C","NY067027081C","upstream","Metro - MIS At Midland RTF","Upstream Manhole",84.2,87743,"not institution specific","ny","ny",43.06,-76.18
"Onondaga",36067,"Central New York",13204,"Metropolitan Syracuse WWTP","36067NY0027081999D","NY0027081","NY067027081D","NY067027081D","upstream","Metro - Burnet Ave","Upstream Manhole",84.2,11521,"not institution specific","ny","ny",43.06,-76.18
"Onondaga",36067,"Central New York",13204,"Metropolitan Syracuse WWTP","36067NY0027081999B","NY0027081","NY067027081E","NY067027081E","upstream","Metro - Kirkpatrick At PS","Upstream Manhole",84.2,9577,"not institution specific","ny","ny",43.06,-76.18
"Onondaga",36067,"Central New York",13204,"Metropolitan Syracuse WWTP","36067NY0027081610","NY0027081","NY067027081J","NY067027081J","upstream","Metro - Main Interceptor Outfall","Upstream Unknown",84.2,128021,"not institution specific","ny","ny",43.06,-76.18
"Onondaga",36067,"Central New York",13204,"Metropolitan Syracuse WWTP","36067NY0027081604","NY0027081","NY067027081A","NY067027081A","wwtp","Metro - Influent","Influent",84.2,242377,"not institution specific","ny","ny",43.06,-76.18
"Onondaga",36067,"Central New York",13029,"Brewerton WPCP","36067NY0027596619","NY0027596","NY067027596A","NY067027596A","wwtp","Brewerton","Influent",3,16168,"not institution specific","ny","ny",43.24,-76.16
"Onondaga",36067,"Central New York",13027,"Wetzel Rd WWTP","36067NY0027618601","NY0027618","NY067027618A","NY067027618A","wwtp","Wetzel Road","Influent",7,25965,"not institution specific","ny","ny",43.15,-76.24
"Onondaga",36067,"Central New York",13057,"Meadowbrook/Limestone WWTP","36067NY0027723605","NY0027723","NY067027723A","NY067027723A","wwtp","Meadowbrook/Limestone","Influent",6.5,39352,"not institution specific","ny","ny",43.05,-76.01
"Onondaga",36067,"Central New York",13041,"Oak Orchard STP","36067NY0030317606","NY0030317","NY067030317A","NY067030317A","wwtp","Oak Orchard","Influent",10,50727,"not institution specific","ny","ny",43.2,-76.21
"Onondaga",36067,"Central New York",13027,"Baldwinsville Seneca Knolls STP","36067NY0030571617","NY0030571","NY067030571A","NY067030571A","wwtp","Baldwinsville","Influent",9,30613,"not institution specific","ny","ny",43.14,-76.3
"Ontario",36069,"Finger Lakes",14564,"Victor - V STP","36069NY0022713OCWWI","NY0022713","NY069022713A","NY069022713A","wwtp","Village of Victor","Influent",0.5,3140,"not institution specific","ny","ny",42.98,-77.4
"Ontario",36069,"Finger Lakes",14564,"Farmington - T STP","36069NY0023531OCWWJ","NY0023531","NY069023531A","NY069023531A","wwtp","Town of Victor and Town Of Farmington","Influent",4,16507,"not institution specific","ny","ny",42.98,-77.38
"Ontario",36069,"Finger Lakes",14424,"Canandaiguia - C STP","36069NY0025968OCWWK","NY0025968","NY069025968A","NY069025968A","wwtp","Canandaigua","Influent",6.5,17936,"not institution specific","ny","ny",42.88,-77.27
"Ontario",36069,"Finger Lakes",14456,"Geneva - C Marsh Creek STP","36069NY0027049OCWWG","NY0027049","NY069027049A","NY069027049A","wwtp","Geneva","Influent",6,16225,"not institution specific","ny","ny",42.88,-76.97
"Ontario",36069,"Finger Lakes",14504,"Manchester Shortsville STP","36069NY0030813OCWWC","NY0030813","NY069030813A","NY069030813A","wwtp","Manchester","Influent",0.88,3626,"not institution specific","ny","ny",42.97,-77.22
"Orange",36071,"Mid-Hudson",10930,"Woodbury Valley Forge SD 1 STP","36071NY0020478ORWWY","NY0020478","NY071020478A","NY071020478A","wwtp","Village of Woodbury","Influent",0.06,7685,"not institution specific","ny","ny",41.36,-74.1
"Orange",36071,"Mid-Hudson",12520,"Cornwall WWTP","36071NY0022144ORWWT","NY0022144","NY071022144A","NY071022144A","wwtp","Village of Cornwall","Influent",1.5,5672,"not institution specific","ny","ny",41.45,-74.02
"Orange",36071,"Mid-Hudson",12553,"New Windsor STP","36071NY0022446ORWWV","NY0022446","NY071022446A","NY071022446A","wwtp","Town of New Windsor","Influent",5,20813,"not institution specific","ny","ny",41.46,-74.03
"Orange",36071,"Mid-Hudson",10928,"Highland Falls WWTP","36071NY0022586ORWWZ","NY0022586","NY071022586A","NY071022586A","wwtp","Highland Falls","Influent",1.35,3695,"not institution specific","ny","ny",41.35,-73.97
"Orange",36071,"Mid-Hudson",10992,"Washingtonville - V WWTF","36071NY0023671ORWWX","NY0023671","NY071023671A","NY071023671A","wwtp","Washingtonville","Influent",0.7,5359,"not institution specific","ny","ny",41.43,-74.14
"Orange",36071,"Mid-Hudson",10990,"Warwick STP","36071NY0023680ORWW3","NY0023680","NY071023680A","NY071023680A","wwtp","Village of Warwick","Influent",1,6729,"not institution specific","ny","ny",41.25,-74.37
"Orange",36071,"Mid-Hudson",10940,"Wallkill STP","36071NY0024422L001","NY0024422","NY071024422B","NY071024422B","upstream","Town of Wallkill - W","Upstream Unknown",4,28914,"not institution specific","ny","ny",41.44,-74.37
"Orange",36071,"Mid-Hudson",10940,"Wallkill STP","36071NY0024422L002","NY0024422","NY071024422C","NY071024422C","upstream","Town of Wallkill - E","Upstream Unknown",4,8715,"not institution specific","ny","ny",41.44,-74.37
"Orange",36071,"Mid-Hudson",10940,"Wallkill STP","36071NY0024422ORWWL","NY0024422","NY071024422A","NY071024422A","wwtp","Town of Wallkill","Influent",4,28914,"not institution specific","ny","ny",41.44,-74.37
"Orange",36071,"Mid-Hudson",12550,"Newburgh WWTP","36071NY0026310NE01","NY0026310","NY071026310A","NY071026310A","wwtp","Newburgh Influent","Influent",9,36227,"not institution specific","ny","ny",41.49,-74.01
"Orange",36071,"Mid-Hudson",12550,"Newburgh WWTP","36071NY0026310NE02","NY0026310","NY071026310B","NY071026310B","upstream","City of Newburgh","Upstream Unknown",9,20515,"not institution specific","ny","ny",41.49,-74.01
"Orange",36071,"Mid-Hudson",12550,"Newburgh WWTP","36071NY0026310NE03","NY0026310","NY071026310C","NY071026310C","upstream","Town of Newburgh","Upstream Unknown",9,11520,"not institution specific","ny","ny",41.49,-74.01
"Orange",36071,"Mid-Hudson",10940,"Middletown STP","36071NY0026328ORWW4","NY0026328","NY071026328A","NY071026328A","wwtp","City of Middletown","Influent",8.5,27434,"not institution specific","ny","ny",41.43,-74.42
"Orange",36071,"Mid-Hudson",12549,"Village of Montgomery STP","36071NY0026433ORWWP","NY0026433","NY071026433A","NY071026433A","wwtp","Village of Montgomery","Influent",0.5,4776,"not institution specific","ny","ny",41.53,-74.25
"Orange",36071,"Mid-Hudson",12771,"Port Jervis STP","36071NY0026522ORWW2","NY0026522","NY071026522A","NY071026522A","wwtp","Port Jervis WRRF","Influent",2.5,8568,"not institution specific","ny","ny",41.36,-74.68
"Orange",36071,"Mid-Hudson",10926,"OCSD No 1 - Harriman WWTP","36071NY0027901ORWW5","NY0027901","NY071027901A","NY071027901A","wwtp","Harriman","Influent",6,42921,"not institution specific","ny","ny",41.31,-74.14
"Orange",36071,"Mid-Hudson",12586,"Village of Walden STP","36071NY0030490ORWW11","NY0030490","NY071030490A","NY071030490A","wwtp","Village of Walden","Influent",1.2,6563,"not institution specific","ny","ny",41.57,-74.19
"Orange",36071,"Mid-Hudson",10924,"Goshen - V WWTF","36071NY0031518ORWW6","NY0031518","NY071031518A","NY071031518A","wwtp","Village of Goshen","Influent",2,6369,"not institution specific","ny","ny",41.4,-74.34
"Orange",36071,"Mid-Hudson",10996,"West Point WWTP","36071NY0274666ORWW8","NY0274666","NY071274666A","NY071274666A","wwtp","West Point","Influent",0,16520,"not institution specific","ny","ny",41.35,-74.05
"Orleans",36073,"Finger Lakes",14103,"Medina WWTP","36073NY0021873OCWWB","NY0021873","NY073021873A","NY073021873A","wwtp","Medina","Influent",4.5,6191,"not institution specific","ny","ny",43.23,-78.39
"Orleans",36073,"Finger Lakes",14411,"Albion Joint Municipal Industrial STP","36073NY0028401OCWWC","NY0028401","NY073028401A","NY073028401A","wwtp","Village of Albion","Influent",2.3,6278,"not institution specific","ny","ny",43.25,-78.17
"Oswego",36075,"Central New York",13069,"Fulton City STP","36075NY0026301OCWWF","NY0026301","NY075026301A","NY075026301A","wwtp","City of Fulton","Influent",3.4,12117,"not institution specific","ny","ny",43.34,-76.42
"Oswego",36075,"Central New York",13126,"West Side WWTP Facility","36075NY0029106001","NY0029106","NY075029106A","NY075029106A","wwtp","Oswego W","Influent",4,14199,"not institution specific","ny","ny",43.46,-76.53
"Oswego",36075,"Central New York",13126,"Oswego C East Side STP","36075NY0029114002","NY0029114","NY075029114A","NY075029114A","wwtp","Oswego E","Influent",5.35,8849,"not institution specific","ny","ny",43.47,-76.5
"Otsego",36077,"Mohawk Valley",13820,"Oneonta WWTP","36077NY0031151001","NY0031151","NY077031151A","NY077031151A","wwtp","City of Oneonta","Influent",4,19383,"not institution specific","ny","ny",42.44,-75.1
"Putnam",36079,"Mid-Hudson",10512,"Carmel SD No 2 STP","36079NY0031356PCWWI","NY0031356","NY079031356A","NY079031356A","wwtp","Carmel","Influent",1.1,4480,"not institution specific","ny","ny",41.42,-73.67
"Queens",36081,"New York City",11430,"Jamaica WWTP","36081NY0026115NYCWWF","NY0026115","NY081026115A","NY081026115A","wwtp","Jamaica","Influent",100,798883,"not institution specific","ny","ny",40.66,-73.81
"Queens",36081,"New York City",11105,"Bowery Bay WWTP","36081NY0026158NYCWWE","NY0026158","NY081026158A","NY081026158A","wwtp","Bowery Bay","Influent",150,824156,"not institution specific","ny","ny",40.78,-73.89
"Queens",36081,"New York City",11694,"Rockaway WWTP","36081NY0026221NYCWWL","NY0026221","NY081026221A","NY081026221A","wwtp","Rockaway","Influent",45,131254,"not institution specific","ny","ny",40.58,-73.83
"Queens",36081,"New York City",11356,"Tallman Island WWTP","36081NY0026239NYCWWD","NY0026239","NY081026239A","NY081026239A","wwtp","Tallman Island","Influent",80,444823,"not institution specific","ny","ny",40.8,-73.84
"Rensselaer",36083,"Capital",12090,"Hoosick Falls - V STP","36083NY0024821RCWWD","NY0024821","NY083024821A","NY083024821A","wwtp","Hoosick Falls","Influent",1.5,3399,"not institution specific","ny","ny",42.91,-73.36
"Rensselaer",36083,"Capital",12144,"East Greenbush WWTP","36083NY0026034RCWWB","NY0026034","NY083026034A","NY083026034A","wwtp","East Greenbush","Influent",2.5,13720,"not institution specific","ny","ny",42.63,-73.74
"Rensselaer",36083,"Capital",12180,"Rensselaer Co SD 1 WWTP","36083NY0087971RCWWA","NY0087971","NY083087971A","NY083087971A","wwtp","Rensselaer","Influent",24,79699,"not institution specific","ny","ny",42.68,-73.71
"Richmond",36085,"New York City",10310,"Port Richmond WWTP","36085NY0026107NYCWWN","NY0026107","NY085026107A","NY085026107A","wwtp","Port Richmond","Influent",60,210680,"not institution specific","ny","ny",40.64,-74.13
"Richmond",36085,"New York City",10306,"Oakwood Beach WWTP","36085NY0026174NYCWWM","NY0026174","NY085026174A","NY085026174A","wwtp","Oakwood Beach","Influent",39.9,266371,"not institution specific","ny","ny",40.55,-74.12
"Rockland",36087,"Mid-Hudson",10901,"Suffern - V STP","36087NY0022748RCWWA","NY0022748","NY087022748A","NY087022748A","wwtp","Suffern","Influent",1.8,10890,"not institution specific","ny","ny",41.11,-74.16
"Rockland",36087,"Mid-Hudson",10962,"Orangetown SD No 2 STP","36087NY0026051RCWWE","NY0026051","NY087026051A","NY087026051A","wwtp","Orangetown","Influent",12.75,53437,"not institution specific","ny","ny",41.04,-73.94
"Rockland",36087,"Mid-Hudson",10993,"Haverstraw Joint Regional STP","36087NY0028533RCWWC","NY0028533","NY087028533A","NY087028533A","wwtp","Haverstraw","Influent",8,36527,"not institution specific","ny","ny",41.21,-73.97
"Rockland",36087,"Mid-Hudson",10980,"Stony Point STP","36087NY0028851RCWWB","NY0028851","NY087028851A","NY087028851A","wwtp","Stony Point","Influent",1,12676,"not institution specific","ny","ny",41.22,-73.97
"Rockland",36087,"Mid-Hudson",10962,"Rockland Co SD No 1","36087NY0031895RCWWF","NY0031895","NY087031895A","NY087031895A","wwtp","Rockland Co SD","Influent",28.9,207430,"not institution specific","ny","ny",41.04,-73.94
"Rockland",36087,"Mid-Hudson",10901,"Western Ramapo Advanded WWTP","36087NY0270598RCWWD","NY0270598","NY087270598A","NY087270598A","wwtp","Village of Hillburn and Village of Sloatsburg","Influent",1.5,4115,"not institution specific","ny","ny",41.12,-74.16
"Saratoga",36091,"Capital",12118,"Saratoga County SD","36091NY0028240007","NY0028240","NY091028240B","NY091028240B","upstream","Balston Spa Meter Pit","Upstream Unknown",43.4,8016,"not institution specific","ny","ny",42.88,-73.69
"Saratoga",36091,"Capital",12118,"Saratoga County SD","36091NY0028240004","NY0028240","NY091028240C","NY091028240C","upstream","Ushers","Upstream Unknown",43.4,39889,"not institution specific","ny","ny",42.88,-73.69
"Saratoga",36091,"Capital",12118,"Saratoga County SD","36091NY0028240008","NY0028240","NY091028240D","NY091028240D","upstream","Saratoga/Geyser","Upstream Unknown",43.4,44448,"not institution specific","ny","ny",42.88,-73.69
"Saratoga",36091,"Capital",12118,"Saratoga County SD","36091NY0028240006","NY0028240","NY091028240E","NY091028240E","upstream","Northline/Milton","Upstream Unknown",43.4,5233,"not institution specific","ny","ny",42.88,-73.69
"Saratoga",36091,"Capital",12118,"Saratoga County SD","36091NY0028240009","NY0028240","NY091028240F","NY091028240F","upstream","Wilton","Upstream Unknown",43.4,14795,"not institution specific","ny","ny",42.88,-73.69
"Saratoga",36091,"Capital",12118,"Saratoga County SD","36091NY0028240005","NY0028240","NY091028240G","NY091028240G","upstream","Saratoga Lake","Upstream Unknown",43.4,10425,"not institution specific","ny","ny",42.88,-73.69
"Saratoga",36091,"Capital",12118,"Saratoga County SD","36091NY0028240002","NY0028240","NY091028240I","NY091028240I","upstream","Halfmoon","Upstream Unknown",43.4,15461,"not institution specific","ny","ny",42.88,-73.69
"Saratoga",36091,"Capital",12118,"Saratoga County SD","36091NY0028240001","NY0028240","NY091028240A","NY091028240A","wwtp","Saratoga Co SD No 1","Influent",43.4,152482,"not institution specific","ny","ny",42.88,-73.69
"Saratoga",36091,"Capital",12188,"Waterford WWTP","36091NY0029173SCWWF","NY0029173","NY091029173A","NY091029173A","wwtp","Waterford","Influent",1.5,8241,"not institution specific","ny","ny",42.79,-73.68
"Schenectady",36093,"Capital",12306,"Rotterdam SD No 2","36093NY0020141SCWWA","NY0020141","NY093020141A","NY093020141A","wwtp","Town of Rotterdam SD 2","Influent",1.5,14825,"not institution specific","ny","ny",42.8,-73.99
"Schenectady",36093,"Capital",12308,"Schenectady - C STP","36093NY0020516SCWWB","NY0020516","NY093020516A","NY093020516A","wwtp","Schenectady","Influent",18.5,78444,"not institution specific","ny","ny",42.84,-73.92
"Schenectady",36093,"Capital",12309,"Niskayuna - T SD 6 WWTP","36093NY0023973SCWWC","NY0023973","NY093023973A","NY093023973A","wwtp","Town of Niskayuna SD 6","Influent",3,21643,"not institution specific","ny","ny",42.8,-73.86
"Schoharie",36095,"Mohawk Valley",12043,"Cobbleskill - V WPCP","36095NY0024201SCWWC","NY0024201","NY095024201A","NY095024201A","wwtp","Cobbleskill","Influent",1.8,5326,"not institution specific","ny","ny",42.68,-74.48
"Schuyler",36097,"Southern Tier",14865,"Catharine Valley Treatment Plant","36097NY0271942SCWWA","NY0271942","NY097271942A","NY097271942A","wwtp","Villages of Watkins Glen and Montour Falls","Influent",1.2,3656,"not institution specific","ny","ny",42.37,-76.86
"Seneca",36099,"Finger Lakes",13165,"Waterloo - V STP","36099NY0022365SCWWA","NY0022365","NY099022365A","NY099022365A","wwtp","Waterloo","Influent",0.8,6160,"not institution specific","ny","ny",42.9,-76.85
"Seneca",36099,"Finger Lakes",13148,"Seneca Falls WWTP","36099NY0033308SCWWB","NY0033308","NY099033308A","NY099033308A","wwtp","Seneca Falls","Influent",3.5,6961,"not institution specific","ny","ny",42.91,-76.78
"Seneca",36099,"Finger Lakes",14541,"Seneca Co SD No 2 STP","36099NY0246972SCWWC","NY0246972","NY099246972A","NY099246972A","wwtp","Romulus and E Seneca Lake","Influent",0.66,3080,"not institution specific","ny","ny",42.74,-76.83
"St Lawrence",36089,"North Country",13642,"Gouverneur - V WWTF","36089NY0020117SLWWA","NY0020117","NY089020117A","NY089020117A","wwtp","Village of Gouverneur","Influent",3.67,4705,"not institution specific","ny","ny",44.33,-75.49
"St Lawrence",36089,"North Country",13676,"Potsdam WPCP","36089NY0020818SLWWF","NY0020818","NY089020818A","NY089020818A","wwtp","Village of Potsdam","Influent",3.5,22552,"not institution specific","ny","ny",44.68,-75
"St Lawrence",36089,"North Country",13669,"Ogdensburg - C WWTP","36089NY0029831SLWWV","NY0029831","NY089029831A","NY089029831A","wwtp","City of Ogdensburg","Influent",6.5,11269,"not institution specific","ny","ny",44.7,-75.49
"St Lawrence",36089,"North Country",13662,"Massena WWTP","36089NY0031194SLWWJ","NY0031194","NY089031194A","NY089031194A","wwtp","Massena","Influent",4.8,10794,"not institution specific","ny","ny",44.94,-74.87
"St Lawrence",36089,"North Country",13617,"Canton WWTP","36089NY0236586SLWWR","NY0236586","NY089236586A","NY089236586A","wwtp","Village of Canton","Influent",4.2,14475,"not institution specific","ny","ny",44.61,-75.17
"Steuben",36101,"Southern Tier",14810,"Bath WWTP","36101NY0021431SCWW4","NY0021431","NY101021431A","NY101021431A","wwtp","Bath","Influent",1,5941,"not institution specific","ny","ny",42.33,-77.31
"Steuben",36101,"Southern Tier",14843,"Hornell - C WPCP","36101NY0023647SCWW3","NY0023647","NY101023647A","NY101023647A","wwtp","Hornel City","Influent",4,8156,"not institution specific","ny","ny",42.31,-77.65
"Steuben",36101,"Southern Tier",14870,"Erwin WWTP","36101NY0023906SCWW2","NY0023906","NY101023906A","NY101023906A","wwtp","Erwin","Influent",1.75,5162,"not institution specific","ny","ny",42.15,-77.09
"Steuben",36101,"Southern Tier",14830,"Corning WWTP","36101NY0025721SCWW1","NY0025721","NY101025721A","NY101025721A","wwtp","Corning","Influent",3.08,10605,"not institution specific","ny","ny",42.14,-77.03
"Suffolk",36103,"Long Island",11901,"Riverhead SD WWTF","36103NY0020061SCWWY","NY0020061","NY103020061A","NY103020061A","wwtp","Riverhead","Influent",1.3,7741,"not institution specific","ny","ny",40.92,-72.64
"Suffolk",36103,"Long Island",11743,"Huntington SD STP","36103NY0021342SCWWD","NY0021342","NY103021342A","NY103021342A","wwtp","Town of Huntington SD","Influent",2.5,8271,"not institution specific","ny","ny",40.88,-73.42
"Suffolk",36103,"Long Island",11733,"SCSD No 1 - Port Jefferson STP","36103NY0021750SCWWV","NY0021750","NY103021750A","NY103021750A","wwtp","Port Jefferson","Influent",1.15,3349,"not institution specific","ny","ny",40.95,-73.08
"Suffolk",36103,"Long Island",11754,"SCSD No 6 - Kings Park STP","36103NY0023311SCWWE","NY0023311","NY103023311A","NY103023311A","wwtp","Kings Park SD","Influent",0.6,3964,"not institution specific","ny","ny",40.89,-73.23
"Suffolk",36103,"Long Island",11741,"SCSD No 14 - Parkland STP","36103NY0065358SCWWK","NY0065358","NY103065358A","NY103065358A","wwtp","Parkland","Influent",1.25,6280,"not institution specific","ny","ny",40.79,-73.06
"Suffolk",36103,"Long Island",11746,"SCSD No 5 - Huntington STP","36103NY0070033SCWWB","NY0070033","NY103070033A","NY103070033A","wwtp","Strathmore - Huntington","Influent",0.24,3988,"not institution specific","ny","ny",40.78,-73.36
"Suffolk",36103,"Long Island",11713,"SCSD No 7-W - Woodside STP","36103NY0076988SCWWN","NY0076988","NY103076988A","NY103076988A","wwtp","Woodside SD","Influent",0.4,7499,"not institution specific","ny","ny",40.79,-72.96
"Suffolk",36103,"Long Island",11784,"SCSD No 11 - Selden STP","36103NY0079324SCWWR","NY0079324","NY103079324A","NY103079324A","wwtp","Selden SD","Influent",2.4,24147,"not institution specific","ny","ny",40.88,-73.03
"Suffolk",36103,"Long Island",11961,"SCSD No 20 - W - Leisure Village","36103NY0079359SCWWU","NY0079359","NY103079359A","NY103079359A","wwtp","Leisure Village SD","Influent",0.3,4149,"not institution specific","ny","ny",40.91,-72.9
"Suffolk",36103,"Long Island",11763,"SCSD No 7p - Twelve Pines STP","36103NY0080683SCWWM","NY0080683","NY103080683A","NY103080683A","wwtp","Twelve Pines SD","Influent",0.83,5789,"not institution specific","ny","ny",40.8,-72.97
"Suffolk",36103,"Long Island",11704,"Bergen Point WWTP","36103NY0104809SCWWA","NY0104809","NY103104809A","NY103104809A","wwtp","Towns of Babylon and Islip","Influent",30.5,278775,"not institution specific","ny","ny",40.67,-73.34
"Suffolk",36103,"Long Island",11794,"SCSD No 21 SUNY Stony Brook","36103NY0206644SCWWW","NY0206644","NY103206644A","NY103206644A","wwtp","SUNY Stony Brook","Influent",2.8,28183,"not institution specific","ny","ny",40.92,-73.12
"Sullivan",36105,"Mid-Hudson",12701,"Monticello STP","36105NY0022454SCWWN","NY0022454","NY105022454A","NY105022454A","wwtp","Monticello","Influent",3.1,6639,"not institution specific","ny","ny",41.64,-74.67
"Sullivan",36105,"Mid-Hudson",12733,"South Fallsburg WWTP","36105NY0024520SCWWT","NY0024520","NY105024520A","NY105024520A","wwtp","South Fallsburg","Influent",3.26,4925,"not institution specific","ny","ny",41.72,-74.62
"Sullivan",36105,"Mid-Hudson",12754,"Liberty WWTF","36105NY0030074SCWWH","NY0030074","NY105030074A","NY105030074A","wwtp","Liberty","Influent",2,4548,"not institution specific","ny","ny",41.79,-74.73
"Tioga",36107,"Southern Tier",13827,"Owego - T STP 2","36107NY0025798TCWWC","NY0025798","NY107025798A","NY107025798A","wwtp","Town of Owego SD 2","Influent",2,5331,"not institution specific","ny","ny",42.07,-76.15
"Tioga",36107,"Southern Tier",13827,"Owego - V STP","36107NY0029262TCWWA","NY0029262","NY107029262A","NY107029262A","wwtp","Village of Owego","Influent",1,3750,"not institution specific","ny","ny",42.09,-76.27
"Tioga",36107,"Southern Tier",14892,"Waverly - V STP","36107NY0031089TCWWE","NY0031089","NY107031089A","NY107031089A","wwtp","Village of Waverly","Influent",1.35,4792,"not institution specific","ny","ny",42,-76.52
"Tompkins",36109,"Southern Tier",14850,"Cayuga Heights - V WWTP","36109NY0020958002","NY0020958","NY109020958A","NY109020958A","wwtp","Cayuga Heights","Influent",2,9770,"not institution specific","ny","ny",42.47,-76.5
"Tompkins",36109,"Southern Tier",14850,"Ithaca Area WWTF","36109NY0026638001","NY0026638","NY109026638A","NY109026638A","wwtp","Ithaca Area - City and Town","Influent",13.1,56967,"not institution specific","ny","ny",42.45,-76.51
"Ulster",36111,"Mid-Hudson",12401,"Ulster SD STP","36111NY0021563UCWWM","NY0021563","NY111021563A","NY111021563A","wwtp","Town of Ulster","Influent",1.6,4825,"not institution specific","ny","ny",41.97,-74.01
"Ulster",36111,"Mid-Hudson",12528,"Lloyd Highland STP","36111NY0024295UCWWI","NY0024295","NY111024295A","NY111024295A","wwtp","Highland","Influent",1.25,3712,"not institution specific","ny","ny",41.72,-73.95
